Name,a,ecc,T0,M0,H,A,Class
"232691 (2004 AR1)",1.58,0.47,57200,313.44,19.80,0.25,NEO
"235756 (2004 VC)",1.13,0.26,57200,0.42,18.80,0.25,NEO
"242450 (2004 QY2)",1.08,0.48,57200,145.32,14.70,0.25,NEO
"242643 (2005 NZ6)",1.83,0.86,57200,328.56,17.40,0.25,NEO
"242708 (2005 UK1)",2.50,0.70,57200,110.99,18.10,0.25,NEO
"243566 (1995 SA)",2.46,0.64,57200,108.02,17.40,0.25,NEO
"244977 (2004 BE68)",1.76,0.44,57200,349.04,18.40,0.25,NEO
"247360 (2001 XU)",2.57,0.84,57200,89.45,19.20,0.25,NEO
"250620 (2005 GE59)",2.11,0.60,57200,182.82,18.00,0.25,NEO
"250706 (2005 RR6)",2.97,0.70,57200,322.06,18.50,0.25,NEO
"251346 (2007 SJ)",2.01,0.53,57200,179.68,16.90,0.25,NEO
"251722 (1997 US2)",1.67,0.66,57200,9.11,19.70,0.25,NEO
"253841 (2003 YG118)",2.29,0.64,57200,81.41,17.10,0.25,NEO
"255071 (2005 UH6)",1.00,0.63,57200,308.44,18.30,0.25,NEO
"260141 (2004 QT24)",1.13,0.25,57200,231.49,18.30,0.25,NEO
"263976 (2009 KD5)",1.05,0.26,57200,135.09,18.40,0.25,NEO
"264993 (2003 DX10)",1.38,0.41,57200,178.42,20.40,0.25,NEO
"265196 (2004 BW58)",1.46,0.38,57200,218.56,18.60,0.25,NEO
"265482 (2005 EE)",1.13,0.33,57200,301.12,21.30,0.25,NEO
"267131 (2000 EK26)",2.41,0.66,57200,63.63,18.20,0.25,NEO
"267221 (2001 AD2)",1.04,0.66,57200,314.65,19.80,0.25,NEO
"267337 (2001 VK5)",1.27,0.51,57200,240.74,18.00,0.25,NEO
"267494 (2002 JB9)",2.72,0.78,57200,313.41,15.90,0.25,NEO
"267729 (2003 FC5)",1.92,0.61,57200,242.46,18.30,0.25,NEO
"269690 (1996 RG3)",2.00,0.60,57200,193.01,18.40,0.25,NEO
"275677 (2000 RS11)",1.28,0.32,57200,352.69,19.10,0.25,NEO
"276033 (2002 AJ129)",1.37,0.91,57200,157.13,18.60,0.25,NEO
"277475 (2005 WK4)",1.01,0.24,57200,24.94,20.10,0.25,NEO
"277570 (2005 YP180)",1.37,0.62,57200,352.01,19.30,0.25,NEO
"279744 (1998 KM3)",1.67,0.61,57200,286.92,19.80,0.25,NEO
"279816 (2000 JE5)",1.24,0.40,57200,289.87,19.10,0.25,NEO
"286080 (2001 TX1)",1.05,0.48,57200,200.38,21.10,0.25,NEO
"289315 (2005 AN26)",2.32,0.63,57200,11.82,18.50,0.25,NEO
"290772 (2005 VC)",2.08,0.59,57200,353.59,17.60,0.25,NEO
"292220 (2006 SU49)",1.41,0.31,57200,317.60,19.50,0.25,NEO
"294739 (2008 CM)",1.57,0.41,57200,286.95,17.30,0.25,NEO
"297274 (1996 SK)",2.43,0.79,57200,313.58,16.80,0.25,NEO
"297300 (1998 SC15)",1.27,0.41,57200,164.31,19.20,0.25,NEO
"301844 (1990 UA)",1.64,0.53,57200,294.96,19.60,0.25,NEO
"302831 (2003 FH)",1.39,0.54,57200,118.18,19.00,0.25,NEO
"303450 (2005 BY2)",1.27,0.33,57200,56.16,20.50,0.25,NEO
"304330 (2006 SX217)",1.41,0.31,57200,254.45,18.90,0.25,NEO
"307005 (2001 XP1)",2.89,0.75,57200,253.41,18.00,0.25,NEO
"308635 (2005 YU55)",1.16,0.43,57200,16.89,21.90,0.25,NEO
"310560 (2001 QL142)",1.05,0.50,57200,30.12,17.80,0.25,NEO
"311044 (2004 BB103)",1.91,0.62,57200,139.91,17.10,0.25,NEO
"311066 (2004 DC)",1.63,0.40,57200,131.49,18.10,0.25,NEO
"314082 Dryope (2005 CZ36)",2.24,0.57,57200,351.18,17.50,0.25,NEO
"314212 (2005 NJ1)",2.13,0.65,57200,49.66,18.50,0.25,NEO
"317255 (2002 DJ5)",1.40,0.57,57200,299.11,19.80,0.25,NEO
"329614 (2003 KU2)",2.69,0.68,57200,231.74,17.70,0.25,NEO
"330233 (2006 KV86)",1.54,0.37,57200,142.68,18.70,0.25,NEO
"331876 (2004 CL)",1.28,0.54,57200,341.59,20.50,0.25,NEO
"332446 (2008 AF4)",1.38,0.41,57200,242.95,19.70,0.25,NEO
"333521 (2005 PO)",1.25,0.37,57200,115.05,19.90,0.25,NEO
"333578 (2006 KM103)",1.57,0.38,57200,138.03,20.20,0.25,NEO
"337075 (1998 QC1)",1.98,0.59,57200,342.04,19.70,0.25,NEO
"337558 (2001 SG262)",1.96,0.58,57200,336.70,19.30,0.25,NEO
"342866 (2008 YU32)",1.54,0.60,57200,184.42,20.10,0.25,NEO
"344076 (1998 HJ3)",1.99,0.75,57200,20.20,18.80,0.25,NEO
"348314 (2005 BC)",1.19,0.28,57200,61.16,17.90,0.25,NEO
"349068 (2006 YT13)",1.32,0.43,57200,162.79,18.30,0.25,NEO
"349507 (2008 QY)",1.17,0.58,57200,201.29,18.60,0.25,NEO
"350523 (2000 EA14)",1.12,0.20,57200,80.86,21.10,0.25,NEO
"350751 (2002 AW)",1.07,0.26,57200,258.65,20.80,0.25,NEO
"352102 (2007 AG12)",2.09,0.66,57200,326.07,19.60,0.25,NEO
"354182 (2002 DU3)",1.15,0.24,57200,248.53,20.70,0.25,NEO
"356991 (1998 QA1)",2.10,0.53,57200,205.74,18.90,0.25,NEO
"357022 (1999 YG3)",1.28,0.33,57200,177.30,19.10,0.25,NEO
"357024 (1999 YR14)",1.65,0.40,57200,147.09,19.10,0.25,NEO
"357028 (2000 EJ26)",1.38,0.61,57200,86.57,19.40,0.25,NEO
"357439 (2004 BL86)",1.50,0.40,57200,101.04,19.30,0.25,NEO
"357594 (2004 XL35)",1.36,0.28,57200,247.31,19.50,0.25,NEO
"357622 (2005 EY95)",1.08,0.54,57200,106.45,20.30,0.25,NEO
"358471 (2007 NS4)",1.87,0.60,57200,347.91,19.10,0.25,NEO
"358744 (2008 CR118)",1.84,0.51,57200,277.88,18.80,0.25,NEO
"359170 (2009 CN5)",1.54,0.47,57200,152.76,20.00,0.25,NEO
"359369 (2009 YG)",2.15,0.70,57200,252.23,18.50,0.25,NEO
"360191 (1988 TA)",1.54,0.48,57200,15.77,20.60,0.25,NEO
"361754 (2007 YV29)",1.37,0.36,57200,279.42,19.00,0.25,NEO
"363024 (1998 OK1)",1.36,0.43,57200,198.56,19.30,0.25,NEO
"363067 (2000 CO101)",1.08,0.09,57200,4.48,19.10,0.25,NEO
"363116 (2001 GQ2)",1.21,0.50,57200,169.15,20.10,0.25,NEO
"363305 (2002 NV16)",1.24,0.22,57200,97.58,21.40,0.25,NEO
"363344 (2002 QC7)",1.17,0.20,57200,224.01,20.00,0.25,NEO
"363599 (2004 FG11)",1.59,0.72,57200,193.88,21.00,0.25,NEO
"363734 (2004 XN50)",1.68,0.78,57200,318.34,18.70,0.25,NEO
"363790 (2005 JE46)",1.90,0.55,57200,254.32,17.70,0.25,NEO
"363831 (2005 PY16)",1.98,0.53,57200,200.53,19.20,0.25,NEO
"365014 (2008 OX2)",1.05,0.60,57200,48.28,20.20,0.25,NEO
"365071 (2009 AV)",1.03,0.07,57200,112.93,18.10,0.25,NEO
"366746 (2004 LJ)",1.09,0.46,57200,334.54,20.20,0.25,NEO
"366774 (2004 TB18)",1.81,0.45,57200,80.15,17.70,0.25,NEO
"367248 (2007 MK13)",1.02,0.14,57200,194.20,20.00,0.25,NEO
