Star ,RA,Dec,Vmag,Bmag,Umag
 9782,  -7.164,  -6.194,18.862,19.424,19.360
 9787, -16.577,   3.414,18.122,18.761,18.746
 9789, -15.387,   2.169,18.477,19.106,19.008
 9792,  -2.721, -10.779,18.890,19.418,19.347
 9798, -10.529,  -2.862,18.681,19.101,19.049
 9801,  -9.847,  -3.561,18.513,19.140,18.761
 9802,  -4.476,  -9.037,18.490,18.919,18.822
 9804,  -7.031,  -6.444,18.041,18.674,18.653
 9809,   0.426, -14.040,17.583,18.224,18.221
 9810,  -6.767,  -6.752,18.220,18.852,18.925
 9819,  -7.506,  -6.032,18.832,19.369,19.175
 9826,  -1.954, -11.693,18.860,19.409,19.322
 9829, -13.051,  -0.397,18.884,19.369,19.338
 9831, -12.102,  -1.381,18.947,19.391,19.306
 9834,  -2.615, -11.066,18.701,19.290,19.161
 9839, -11.570,  -1.981,18.996,19.535,19.388
 9860,  -4.321,  -9.502,18.529,19.112,19.004
 9862, -17.676,   4.169,18.944,19.463,19.678
 9869,  -5.361,  -8.469,18.805,19.347,19.207
 9874, -10.440,  -3.312,18.850,19.528,19.019
 9877,  -2.576, -11.338,18.908,19.401,19.385
 9879,  -9.349,  -4.454,18.829,19.375,19.188
 9882,  -9.788,  -4.009,16.835,17.580,17.686
 9918,  -8.449,  -5.542,18.837,19.347,19.310
 9920,  -0.987, -13.128,18.546,19.108,19.111
 9923, -15.718,   1.886,17.452,18.154,18.268
 9928, -11.414,  -2.557,16.425,17.203,17.338
 9932, -19.857,   6.120,18.500,19.149,19.135
 9933, -18.111,   4.305,18.513,18.994,18.929
 9934,   1.564, -15.772,17.832,18.491,18.546
 9936,  -6.431,  -7.708,13.480,14.593,15.289
 9945,  -0.522, -13.729,15.384,16.221,16.496
 9947,  -9.256,  -4.864,18.613,19.166,19.091
 9950,  -4.713,  -9.501,17.905,18.528,18.572
 9956, -18.637,   4.754,16.448,17.199,17.312
 9960,  -6.776,  -7.445,15.930,16.152,16.506
 9962, -18.428,   4.507,18.886,19.301,19.350
 9963,  -6.336,  -7.903,17.029,17.736,17.845
 9970, -19.726,   5.808,16.511,17.215,17.367
 9972, -12.716,  -1.438,18.879,19.353,19.340
 9975,   1.300, -15.691,18.705,19.269,19.200
 9980, -15.832,   1.716,17.438,18.134,18.173
 9985, -17.134,   3.040,17.954,18.637,18.648
 9989,  -5.495,  -8.911,18.929,19.544,19.442
 9991,  -4.433,  -9.990,17.965,18.595,18.497
 9992, -11.127,  -3.169,18.655,18.861,18.772
 9995, -19.084,   5.009,18.762,19.180,19.139
 9997, -15.483,   1.269,18.675,19.212,19.294
10005,  -0.890, -13.654,18.311,18.951,18.953
10012,   0.235, -14.821,12.844,14.251,15.286
10026, -17.774,   3.520,13.474,14.591,15.411
10033,  -9.785,  -4.733,18.991,19.465,19.261
10034, -10.294,  -4.218,18.914,19.464,19.315
10041,  -7.720,  -6.897,18.110,18.112,18.353
10043,  -6.466,  -8.187,17.668,18.269,18.294
10048,   1.275, -16.045,18.465,19.167,19.070
10052,  -6.141,  -8.555,18.989,19.476,19.402
10056,  -2.567, -12.187,18.790,19.364,19.241
10063,  -8.017,  -6.692,18.833,19.316,19.224
10075,  -2.766, -12.130,18.648,19.194,19.121
10077, -10.984,  -3.791,15.657,16.493,16.714
10090,  -4.695, -10.240,18.586,19.160,19.019
10097,  -2.262, -12.736,16.087,16.833,17.007
10100,  -0.534, -14.507,18.904,19.394,19.065
10101,  -7.422,  -7.534,17.111,17.123,16.734
10103, -16.657,   1.930,18.768,19.263,19.159
10117,   0.286, -15.440,18.936,20.038,19.789
10122, -12.406,  -2.553,17.263,17.921,17.983
10128,  -8.766,  -6.302,18.524,19.110,19.056
10130, -15.572,   0.670,16.652,16.669,16.526
10146, -18.633,   3.753,15.979,16.078,16.473
10149, -11.702,  -3.417,16.864,17.602,17.709
10155, -18.129,   3.183,18.714,19.155,18.909
10163, -17.418,   2.391,15.754,16.552,16.781
10164, -15.771,   0.689,18.567,19.162,19.127
10193,  -2.530, -12.979,18.812,19.361,19.220
10197, -15.926,   0.679,17.317,17.306,17.009
10203,  -6.398,  -9.109,18.758,19.417,19.315
10211, -15.077,  -0.300,18.972,19.369,19.359
10214,  -2.545, -13.088,17.721,18.435,18.473
10218,   1.577, -17.263,16.040,16.206,16.583
10219, -14.518,  -0.909,18.409,19.053,19.028
10222, -10.330,  -5.211,18.434,19.005,18.937
10235,  -2.214, -13.546,18.651,19.291,19.042
10236, -11.697,  -3.912,18.534,19.215,19.128
10240,   0.117, -15.923,18.817,19.340,19.288
10251,  -9.667,  -6.059,18.516,19.031,18.993
10256, -16.661,   1.106,17.299,17.978,18.066
10267,  -5.880,  -9.955,18.639,19.267,19.182
10282, -10.951,  -4.886,18.944,19.464,19.453
10285, -13.036,  -2.759,18.449,19.045,18.959
10287, -11.571,  -4.270,18.828,19.388,19.260
10300,  -3.169, -12.895,17.404,18.121,18.200
10311,  -7.193,  -8.859,15.775,16.219,16.453
10312,  -6.124,  -9.956,18.715,19.183,19.128
10321,   0.512, -16.713,18.988,19.446,19.377
10331,  -4.140, -12.051,15.217,16.065,16.358
10333,  -4.365, -11.835,17.947,18.528,18.499
10339, -19.489,   3.635,15.294,16.148,16.405
10344, -17.637,   1.699,17.817,18.195,18.353
10351,  -9.935,  -6.267,18.644,19.158,19.145
10353,  -7.932,  -8.314,16.158,16.932,17.091
10356,  -3.775, -12.546,15.638,15.854,16.189
10357,  -2.641, -13.695,16.944,17.663,17.761
10361,  -5.167, -11.149,15.949,16.070,16.449
10370, -20.086,   4.080,17.754,18.503,18.452
10373, -14.203,  -2.026,16.575,17.294,17.430
10399, -10.801,  -5.638,13.402,14.587,15.458
10435,  -5.093, -11.661,18.579,18.996,18.840
10439,  -8.177,  -8.533,18.698,19.159,19.097
10441, -13.470,  -3.143,18.939,19.403,19.323
10442,  -0.370, -16.454,18.903,19.386,19.254
10445,  -2.027, -14.793,18.741,19.371,19.193
10448, -13.876,  -2.741,18.573,19.034,18.962
10451, -12.101,  -4.567,16.925,17.635,17.739
10453, -11.554,  -5.136,18.708,19.194,19.077
10464,  -2.876, -14.031,13.072,14.397,15.390
10466,  -8.467,  -8.362,17.517,18.225,18.231
10470,  -0.106, -16.846,15.310,16.160,16.463
10475,  -1.506, -15.482,17.468,18.164,18.208
10478, -15.487,  -1.263,17.954,18.629,18.648
10480,  -9.756,  -7.142,18.807,19.287,19.227
10491, -19.631,   2.911,15.914,16.083,16.416
10494, -13.704,  -3.253,17.768,18.438,18.398
