Name,H,A
"   605 Juvisia (1906 UU)",10.0,0.0397
"   606 Brangane (1906 VB)",10.2,0.0986
"   607 Jenny (1906 VC)",9.9,0.0711
"   608 Adolfine (1906 VD)",10.8,0.1603
"   609 Fulvia (1906 VF)",10.2,0.0602
"   611 Valeria (1906 VL)",9.19,0.1148
"   612 Veronika (1906 VN)",10.7,0.0411
"   613 Ginevra (1906 VP)",9.67,0.0374
"   614 Pia (1906 VQ)",11.0,0.1056
"   615 Roswitha (1906 VR)",10.2,0.0553
"   616 Elly (1906 VT)",10.68,0.2866
"   618 Elfriede (1906 VZ)",8.2,0.0606
"   621 Werdandi (1906 WJ)",10.49,0.1527
"   623 Chimaera (1907 XJ)",10.97,0.0372
"   625 Xenia (1907 XN)",9.9,0.2195
"   626 Notburga (1907 XO)",9.00,0.0437
"   627 Charis (1907 XS)",9.95,0.0786
"   628 Christine (1907 XT)",9.25,0.1426
"   629 Bernardina (1907 XU)",10.0,0.2140
"   630 Euphemia (1907 XW)",11.00,0.2375
"   631 Philippina (1907 YJ)",8.70,0.1760
"   633 Zelima (1907 ZM)",9.73,0.1918
"   634 Ute (1907 ZN)",9.7,0.0530
"   635 Vundtia (1907 ZS)",9.01,0.0456
"   636 Erika (1907 XP)",9.50,0.0507
"   637 Chrysothemis (1907 YE)",11.5,0.0633
"   638 Moira (1907 ZQ)",10.0,0.0496
"   639 Latona (1907 ZT)",8.20,0.1826
"   640 Brambilla (1907 ZW)",9.1,0.0686
"   642 Clara (1907 ZY)",9.98,0.1617
"   644 Cosima (1907 AA)",11.13,0.1572
"   651 Antikleia (1907 AN)",10.01,0.1603
"   652 Jubilatrix (1907 AU)",10.9,0.1710
"   653 Berenike (1907 BK)",9.2,0.2444
"   654 Zelinda (1908 BM)",8.52,0.0425
"   655 Briseis (1907 BF)",9.9,0.2693
"   656 Beagle (1908 BU)",10.00,0.0625
"   657 Gunlod (1908 BV)",10.93,0.0415
"   658 Asteria (1908 BW)",10.54,0.2040
"   660 Crescentia (1908 CC)",9.14,0.2186
"   661 Cloelia (1908 CL)",9.6,0.1076
"   662 Newtonia (1908 CW)",10.3,0.1999
"   663 Gerlinde (1908 DG)",9.21,0.0359
"   664 Judith (1908 DH)",9.97,0.0344
"   665 Sabine (1908 DK)",8.6,0.3895
"   666 Desdemona (1908 DM)",10.6,0.1055
"   667 Denise (1908 DN)",9.4,0.0737
"   668 Dora (1908 DO)",12.0,0.0467
"   669 Kypria (1908 DQ)",10.24,0.1405
"   670 Ottegebe (1908 DR)",9.4,0.1830
"   671 Carnegia (1908 DV)",10.2,0.0512
"   673 Edda (1908 EA)",10.20,0.1044
"   674 Rachele (1908 EP)",7.42,0.2007
"   676 Melitta (1909 FN)",9.4,0.0526
"   677 Aaltje (1909 FR)",9.5,0.2794
"   678 Fredegundis (1909 FS)",9.02,0.2494
"   679 Pax (1909 FY)",9.01,0.1660
"   680 Genoveva (1909 GW)",9.31,0.0474
"   683 Lanzia (1909 HC)",8.7,0.1474
"   685 Hermia (1909 HE)",11.9,0.2807
"   686 Gersuind (1909 HF)",9.67,0.1416
"   688 Melanie (1909 HH)",10.59,0.0599
"   689 Zita (1909 HJ)",12.15,0.1183
"   690 Wratislavia (1909 HZ)",8.02,0.0604
"   691 Lehigh (1909 JG)",9.2,0.0438
"   693 Zerbinetta (1909 HN)",9.5,0.0683
"   694 Ekard (1909 JA)",9.17,0.0460
"   695 Bella (1909 JB)",9.30,0.1450
"   696 Leonora (1910 JJ)",9.4,0.0773
"   697 Galilea (1910 JO)",9.63,0.0387
"   698 Ernestina (1910 JX)",10.9,0.1269
"   700 Auravictrix (1910 KE)",11.0,0.2455
"   701 Oriola (1910 KN)",9.25,0.2184
"   702 Alauda (1910 KQ)",7.25,0.0587
"   704 Interamnia (1910 KU)",5.94,0.0742
"   705 Erminia (1910 KV)",8.39,0.0432
"   706 Hirundo (1910 KX)",10.9,0.1721
"   708 Raphaela (1911 LJ)",10.61,0.2193
"   709 Fringilla (1911 LK)",9.04,0.0459
"   710 Gertrud (1911 LM)",11.1,0.0893
"   712 Boliviana (1911 LO)",8.32,0.0510
"   714 Ulula (1911 LW)",9.0,0.2711
"   715 Transvaalia (1911 LX)",10.0,0.2606
"   716 Berkeley (1911 MD)",10.84,0.1801
"   717 Wisibada (1911 MJ)",11.10,0.0666
"   718 Erida (1911 MS)",9.6,0.0399
"   720 Bohlinia (1911 MW)",9.6,0.2029
"   723 Hammonia (1911 NB)",9.9,0.1829
"   725 Amanda (1911 ND)",11.81,0.0721
"   726 Joella (1911 NM)",10.57,0.0539
"   727 Nipponia (1912 NT)",9.5,0.2423
"   729 Watsonia (1912 OD)",9.31,0.1381
"   731 Sorga (1912 OQ)",9.62,0.1436
"   732 Tjilaki (1912 OR)",10.4,0.0655
"   734 Benda (1912 PH)",9.8,0.0464
"   735 Marghanna (1912 PY)",9.55,0.0484
"   736 Harvard (1912 PZ)",11.64,0.1406
"   737 Arequipa (1912 QB)",8.81,0.2723
"   738 Alagasta (1913 QO)",10.13,0.0398
"   739 Mandeville (1913 QR)",8.50,0.0608
"   740 Cantabia (1913 QS)",9.1,0.0552
